"id","trade_code","date","high","low","open","close","volume"
"347","ADVENT","2020-07-09","23.1","22.8","22.8","22.8","536"
"348","ADVENT","2020-07-08","22.8","22.8","22.8","22.8","64"
"349","ADVENT","2020-07-07","22.8","22.8","22.8","22.8","91"
"350","ADVENT","2020-07-06","0","0","0","22.8","0"
"351","ADVENT","2020-07-05","22.8","22.8","22.8","22.8","4"
"352","ADVENT","2020-07-02","22.8","22.8","22.8","22.8","10"
"353","AFCAGRO","2020-08-10","19.5","18.8","19.1","18.8","463"
"354","AFCAGRO","2020-08-09","19.9","19","19","19.5","683"
"355","AFCAGRO","2020-08-06","19.2","17.6","18","18.9","449"
"356","AFCAGRO","2020-08-05","19.1","17.1","18.7","17.8","559"
"357","AFCAGRO","2020-08-04","19.1","18.2","19","18.7","375"
"358","AFCAGRO","2020-08-03","19.7","18.1","18.1","19","598"
"359","AFCAGRO","2020-07-30","18.3","17","17","18.1","601"
"360","AFCAGRO","2020-07-29","17.2","17","17","17","139"
"361","AFCAGRO","2020-07-28","17","17","17","17","94"
"362","AFCAGRO","2020-07-27","17","17","17","17","30"
"363","AFCAGRO","2020-07-26","17.3","17","17.1","17","36"
"364","AFCAGRO","2020-07-23","17","17","17","17","85"
"365","AFCAGRO","2020-07-22","17.2","17","17","17","58"
"366","AFCAGRO","2020-07-21","17","17","17","17","36"
"367","AFCAGRO","2020-07-20","17","17","17","17","9"
"368","AFCAGRO","2020-07-19","17","17","17","17","800"
"369","AFCAGRO","2020-07-16","17","17","17","17","2"
"370","AFCAGRO","2020-07-15","17","17","17","17","6"
"371","AFCAGRO","2020-07-14","17.1","17","17","17","58"
"372","AFCAGRO","2020-07-13","17.3","17","17","17","44"
"373","AFCAGRO","2020-07-12","17.5","17","17.2","17","83"
"374","AFCAGRO","2020-07-09","17.5","17","17","17.2","238"
"375","AFCAGRO","2020-07-08","17","17","17","17","400"
"376","AFCAGRO","2020-07-07","17","17","17","17","170"
"377","AFCAGRO","2020-07-06","0","0","0","17","0"
"378","AFCAGRO","2020-07-05","0","0","0","17","0"
"379","AFCAGRO","2020-07-02","17","17","17","17","278"
"380","AFTABAUTO","2020-08-10","27.2","26.1","27.2","26.3","268"
"381","AFTABAUTO","2020-08-09","27.4","25.9","25.9","27.2","363"
"382","AFTABAUTO","2020-08-06","25.8","24.6","24.7","25","321"
"383","AFTABAUTO","2020-08-05","25.8","24.6","24.8","25.1","222"
"384","AFTABAUTO","2020-08-04","25.8","24.2","25.4","24.7","179"
